message,label
Quick call now.,EVENT
Client call tomorrow,EVENT
Reminder to push code.,REMINDER
Townhall next week,EVENT
Okay got it,NO_INTENT
Check the logs,TASK
prod issue call in 10 mins,EVENT
Client call tomorrow.,EVENT
Finish the feature today,TASK
Review the PR,TASK
Need a reminder for demo,REMINDER
let’s sync at 4 today.,EVENT
Okay got it.,NO_INTENT
Tech discussion at 3 PM,EVENT
merge the branch.,TASK
Planning session this evening.,EVENT
Interview moved to Monday,EVENT
Validate API responses,TASK
Remind me about PR review,REMINDER
All good from my side,NO_INTENT
Noted,NO_INTENT
Push the code to main.,TASK
Noted.,NO_INTENT
Interview moved to Monday,EVENT
Set a reminder for standup,REMINDER
Haha okay.,NO_INTENT
Run regression tests,TASK
1:1 with manager today,EVENT
We discussed this earlier,NO_INTENT
Noted,NO_INTENT
Prepare slides for demo,TASK
Please remind me before EOD.,REMINDER
Fix the prod bug.,TASK
haha okay,NO_INTENT
Meeting with QA post lunch,EVENT
Client call tomorrow,EVENT
Noted.,NO_INTENT
Close the ticket,TASK
Looks good to me.,NO_INTENT
1:1 with manager today,EVENT
Looks good to me,NO_INTENT
Meeting with QA post lunch,EVENT
Quick call now,EVENT
Done already.,NO_INTENT
Finish the feature today,TASK
tech discussion at 3 pm,EVENT
please remind me before eod,REMINDER
meeting with qa post lunch.,EVENT
Run regression tests,TASK
Close the ticket,TASK
Prepare slides for demo,TASK
Close the ticket,TASK
Meeting with QA post lunch,EVENT
we discussed this earlier,NO_INTENT
No issues so far,NO_INTENT
meeting with qa post lunch,EVENT
lol that’s funny.,NO_INTENT
Update environment configs,TASK
Sounds good,NO_INTENT
No issues so far,NO_INTENT
Review the PR.,TASK
No issues so far,NO_INTENT
Update environment configs.,TASK
Set reminder for client call.,REMINDER
Prod issue call in 10 mins,EVENT
Tech discussion at 3 PM.,EVENT
Push the code to main.,TASK
Can you remind me later,REMINDER
tech discussion at 3 pm,EVENT
Done already,NO_INTENT
Remind me to check logs.,REMINDER
client call tomorrow.,EVENT
Don’t let me forget the meeting,REMINDER
Yep,NO_INTENT
Quick call now.,EVENT
Sprint planning tomorrow,EVENT
Push the code to main,TASK
Run regression tests,TASK
noted,NO_INTENT
Need reminder for release,REMINDER
Okay got it,NO_INTENT
Don’t let me forget the meeting,REMINDER
Run regression tests,TASK
Update the doc in Confluence,TASK
Remind me to check logs,REMINDER
All good from my side,NO_INTENT
No issues so far,NO_INTENT
set a reminder for standup,REMINDER
close the ticket.,TASK
All good from my side,NO_INTENT
Set a reminder for standup,REMINDER
Deploy to staging,TASK
Set reminder for client call.,REMINDER
Sounds good,NO_INTENT
demo scheduled for friday,EVENT
Remind me to submit timesheet,REMINDER
Set a reminder for standup,REMINDER
Close the ticket.,TASK
Tech discussion at 3 PM.,EVENT
Need reminder for release,REMINDER
We discussed this earlier,NO_INTENT
Client call tomorrow,EVENT
ping me to review pr,REMINDER
Finish the feature today,TASK
Noted,NO_INTENT
Update the doc in Confluence.,TASK
Looks good to me,NO_INTENT
standup at 10am,EVENT
meeting with qa post lunch,EVENT
Don’t let me forget the meeting.,REMINDER
Ping me to review PR,REMINDER
Merge the branch,TASK
I was on leave yesterday,NO_INTENT
Tech discussion at 3 PM.,EVENT
Fix the prod bug,TASK
Demo scheduled for Friday,EVENT
Ping me to review PR,REMINDER
Update environment configs.,TASK
lol that’s funny,NO_INTENT
