message,label
We talked Monday.,NO_EVENT
This should have been done by Sunday.,NO_EVENT
We need to meet today evening.,EVENT
Schedule a call with John on this Friday.,EVENT
We could have connected tonight.,NO_EVENT
Please complete this by next week.,EVENT
"If we had connected at 8PM, it would've helped.",NO_EVENT
I was busy Tuesday.,NO_EVENT
You could have done this by tomorrow.,NO_EVENT
We need to meet tonight.,EVENT
We need to meet tonight.,EVENT
I was busy next week.,NO_EVENT
We could have connected today evening.,NO_EVENT
Join the meeting at at 8PM.,EVENT
Finish the report by Sunday.,EVENT
We talked Monday.,NO_EVENT
Finish the report by tomorrow.,EVENT
Remind me to send the document Tuesday.,EVENT
Join the meeting at tonight.,EVENT
Remind me to email Sarah Tuesday.,EVENT
Let's sync up tomorrow.,EVENT
"You might complete it by Tuesday, but I'm unsure.",NO_EVENT
Can this be completed by Monday?,NO_EVENT
We could have connected tonight.,NO_EVENT
Was this supposed to finish by this Friday?,NO_EVENT
Ping me Sunday.,EVENT
"If we had connected tomorrow morning, it would've helped.",NO_EVENT
Remind me to review the code tomorrow.,EVENT
Let's discuss about backend Sunday.,EVENT
Finish the report by Monday.,EVENT
Let's discuss about backend Sunday.,EVENT
This should have been done by Sunday.,NO_EVENT
I was busy this Friday.,NO_EVENT
This should have been done by this Friday.,NO_EVENT
Earlier we met Tuesday.,NO_EVENT
Let's discuss about API design Tuesday.,EVENT
This should have been done by this Friday.,NO_EVENT
Earlier we met tomorrow.,NO_EVENT
Finish the report by Tuesday.,EVENT
This should have been done by next week.,NO_EVENT
Can this be completed by Sunday?,NO_EVENT
Finish the report by Monday.,EVENT
Schedule a call with John on this Friday.,EVENT
Let's connect tomorrow morning.,EVENT
Let's connect at 9AM.,EVENT
We need to meet today evening.,EVENT
Let's sync up Monday.,EVENT
Let's discuss about frontend Sunday.,EVENT
This should have been done by Sunday.,NO_EVENT
"You might complete it by Tuesday, but I'm unsure.",NO_EVENT
Please complete this by this Friday.,EVENT
Finish the report by Tuesday.,EVENT
Schedule a call with John on Tuesday.,EVENT
Finish the report by tomorrow.,EVENT
"You might complete it by tomorrow, but I'm unsure.",NO_EVENT
You could have done this by Sunday.,NO_EVENT
Was this supposed to finish by this Friday?,NO_EVENT
Can this be completed by Sunday?,NO_EVENT
Ping me Monday.,EVENT
Finish the report by next week.,EVENT
Remind me to send the document this Friday.,EVENT
"If we had connected today evening, it would've helped.",NO_EVENT
Finish the report by next week.,EVENT
Was this supposed to finish by Monday?,NO_EVENT
Can this be completed by Monday?,NO_EVENT
Was this supposed to finish by this Friday?,NO_EVENT
We could have connected at 8PM.,NO_EVENT
Earlier we met tomorrow.,NO_EVENT
"You might complete it by Sunday, but I'm unsure.",NO_EVENT
"If we had connected tomorrow morning, it would've helped.",NO_EVENT
Can this be completed by Sunday?,NO_EVENT
We need to meet today evening.,EVENT
Was this supposed to finish by Sunday?,NO_EVENT
Let's sync up tomorrow.,EVENT
"You might complete it by Tuesday, but I'm unsure.",NO_EVENT
Remind me to review the code tomorrow.,EVENT
You could have done this by next week.,NO_EVENT
Was this supposed to finish by Sunday?,NO_EVENT
Earlier we met tomorrow.,NO_EVENT
You could have done this by Sunday.,NO_EVENT
Remind me to call John next week.,EVENT
Let's discuss about UI flow next week.,EVENT
Ping me Monday.,EVENT
Let's sync up next week.,EVENT
I was busy Tuesday.,NO_EVENT
Ping me Monday.,EVENT
Earlier we met Sunday.,NO_EVENT
I was busy this Friday.,NO_EVENT
Finish the report by Sunday.,EVENT
"If we had connected today evening, it would've helped.",NO_EVENT
Earlier we met Monday.,NO_EVENT
Finish the report by this Friday.,EVENT
Was this supposed to finish by Sunday?,NO_EVENT
Let's connect tomorrow morning.,EVENT
I was busy this Friday.,NO_EVENT
We talked Monday.,NO_EVENT
Let's connect tomorrow morning.,EVENT
"You might complete it by Tuesday, but I'm unsure.",NO_EVENT
You could have done this by Tuesday.,NO_EVENT
Can this be completed by this Friday?,NO_EVENT
Let's connect at 8PM.,EVENT
"If we had connected today evening, it would've helped.",NO_EVENT
We could have connected at 8PM.,NO_EVENT
"If we had connected today evening, it would've helped.",NO_EVENT
We need to meet at 9AM.,EVENT
"If we had connected tomorrow morning, it would've helped.",NO_EVENT
Was this supposed to finish by Sunday?,NO_EVENT
We could have connected tonight.,NO_EVENT
You could have done this by next week.,NO_EVENT
Let's discuss about deployment this Friday.,EVENT
"You might complete it by this Friday, but I'm unsure.",NO_EVENT
We talked Tuesday.,NO_EVENT
Remind me to call John Sunday.,EVENT
"You might complete it by Tuesday, but I'm unsure.",NO_EVENT
We need to meet tomorrow morning.,EVENT
Remind me to send the document next week.,EVENT
Was this supposed to finish by next week?,NO_EVENT
Schedule a call with John on tomorrow.,EVENT
Finish the report by next week.,EVENT
I was busy tomorrow.,NO_EVENT
Let's sync up next week.,EVENT
Ping me this Friday.,EVENT
Ping me tomorrow.,EVENT
Schedule a call with John on this Friday.,EVENT
Please complete this by Tuesday.,EVENT
This should have been done by Monday.,NO_EVENT
Earlier we met tomorrow.,NO_EVENT
Remind me to send the document this Friday.,EVENT
Let's discuss about API design tomorrow.,EVENT
Please complete this by Monday.,EVENT
We could have connected tonight.,NO_EVENT
Please complete this by Monday.,EVENT
Please complete this by tomorrow.,EVENT
We could have connected tomorrow morning.,NO_EVENT
We need to meet at 8PM.,EVENT
We talked tomorrow.,NO_EVENT
"You might complete it by next week, but I'm unsure.",NO_EVENT
Join the meeting at today evening.,EVENT
Please complete this by Monday.,EVENT
We need to meet today evening.,EVENT
Join the meeting at at 9AM.,EVENT
We talked Tuesday.,NO_EVENT
Please complete this by Sunday.,EVENT
"If we had connected tomorrow morning, it would've helped.",NO_EVENT
Earlier we met Sunday.,NO_EVENT
We could have connected today evening.,NO_EVENT
Remind me to review the code next week.,EVENT
Please complete this by next week.,EVENT
This should have been done by Monday.,NO_EVENT
Let's connect at 9AM.,EVENT
Remind me to email Sarah next week.,EVENT
Ping me tomorrow.,EVENT
Let's discuss about API design Sunday.,EVENT
Remind me to review the code Tuesday.,EVENT
Remind me to send the document Monday.,EVENT
Let's connect tomorrow morning.,EVENT
Was this supposed to finish by Monday?,NO_EVENT
Join the meeting at tonight.,EVENT
Let's sync up Monday.,EVENT
You could have done this by this Friday.,NO_EVENT
Can this be completed by this Friday?,NO_EVENT
We could have connected at 8PM.,NO_EVENT
We could have connected tomorrow morning.,NO_EVENT
Schedule a call with David on Tuesday.,EVENT
We talked Tuesday.,NO_EVENT
We need to meet tomorrow morning.,EVENT
I was busy next week.,NO_EVENT
Join the meeting at tonight.,EVENT
We need to meet at 8PM.,EVENT
