input_text,target_text
Tell Rohit to schedule the client meeting,Schedule the client meeting
Ping Rohit and plan the next sprint tasks,Plan the next sprint tasks
Message Sanjay to confirm interview timings,Confirm interview timings
Text Rahul to book the conference room,Book the conference room
Text Isha to check the bug fixes,Check the bug fixes
Ping Isha and prepare the meeting notes,Prepare the meeting notes
Ask Priya if they can share the new code files,Can you share the new code files?
Ask Rina to send the invoice to finance,Send the invoice to finance
Ping Meera and finalize the budget report,Finalize the budget report
Ping Sneha and schedule the client meeting,Schedule the client meeting
Request Rohit to prepare the meeting notes,Prepare the meeting notes
Ask Isha if they can push the changes to GitHub,Can you push the changes to GitHub?
Text John to review the latest pull request,Review the latest pull request
Ask Rina to prepare the meeting notes,Prepare the meeting notes
Tell Divya to book the conference room,Book the conference room
Request Isha to check the bug fixes,Check the bug fixes
Ask Rahul to schedule the client meeting,Schedule the client meeting
Remind Isha to send the invoice to finance,Send the invoice to finance
Tell Sanjay to book the conference room,Book the conference room
Ping Karan and upload the test results,Upload the test results
Ask Divya if they can schedule the client meeting,Can you schedule the client meeting?
Ask Sneha to send the invoice to finance,Send the invoice to finance
Ping Priya and review the presentation slides,Review the presentation slides
Ask Rohit if they can finalize the budget report,Can you finalize the budget report?
Remind Sneha to update the deployment plan,Update the deployment plan
Ask Meera if they can review the presentation slides,Can you review the presentation slides?
Text Neha to check the bug fixes,Check the bug fixes
Inform Alex to send a summary of today’s meeting,Send a summary of today’s meeting
Send a message to Neha to finalize the budget report,Finalize the budget report
Ping John and finalize the budget report,Finalize the budget report
Tell Karan to review the presentation slides,Review the presentation slides
Send a message to Meera to check the bug fixes,Check the bug fixes
Ask Rina if they can prepare the meeting notes,Can you prepare the meeting notes?
Ping John and prepare the meeting notes,Prepare the meeting notes
Message Sanjay to review the presentation slides,Review the presentation slides
Ping Rahul and push the changes to GitHub,Push the changes to GitHub
Message Meera to book the conference room,Book the conference room
Message Neha to submit the daily report,Submit the daily report
Tell Rohit to schedule the client meeting,Schedule the client meeting
Request Rina to share the new code files,Share the new code files
Request Rina to share the new code files,Share the new code files
Ask Riya to confirm interview timings,Confirm interview timings
Send a message to Riya to review the latest pull request,Review the latest pull request
Ping Karan and bring the laptop tomorrow,Bring the laptop tomorrow
Text Rina to send the invoice to finance,Send the invoice to finance
Remind Priya to upload the test results,Upload the test results
Tell Rina to send me the project update,Send me the project update
Send a message to Neha to review the latest pull request,Review the latest pull request
Message Sneha to send me the project update,Send me the project update
Tell Sneha to prepare the meeting notes,Prepare the meeting notes
Ask Rohit if they can prepare the meeting notes,Can you prepare the meeting notes?
Ping Alex and finalize the budget report,Finalize the budget report
Ask Rahul if they can push the changes to GitHub,Can you push the changes to GitHub?
Message Sneha to submit the daily report,Submit the daily report
Text Neha to review the presentation slides,Review the presentation slides
Remind Rina to book the conference room,Book the conference room
Tell Neha to share the onboarding document,Share the onboarding document
Remind Alex to bring the laptop tomorrow,Bring the laptop tomorrow
Ask Meera if they can book the conference room,Can you book the conference room?
Send a message to Rahul to prepare the meeting notes,Prepare the meeting notes
Message Divya to book the conference room,Book the conference room
Remind Neha to send me the project update,Send me the project update
Text Sanjay to push the changes to GitHub,Push the changes to GitHub
Send a message to Isha to prepare the meeting notes,Prepare the meeting notes
Ask Isha if they can submit the daily report,Can you submit the daily report?
Request Karan to confirm interview timings,Confirm interview timings
Ask Alex to draft the new proposal,Draft the new proposal
Send a message to Priya to send me the project update,Send me the project update
Ping Isha and plan the next sprint tasks,Plan the next sprint tasks
Ask Sanjay to send a summary of today’s meeting,Send a summary of today’s meeting
Tell Neha to send the invoice to finance,Send the invoice to finance
Ping Priya and finalize the budget report,Finalize the budget report
Ask Ankit to submit the daily report,Submit the daily report
Text Divya to schedule the client meeting,Schedule the client meeting
Inform Priya to review the presentation slides,Review the presentation slides
