"message","intent"
"Let's meet 7PM","event"
"Call with Sara at 6PM","event"
"Planning session at 6PM","event"
"Meeting with design team Tuesday","event"
"Let's connect Thursday","event"
"Team sync scheduled for Friday","event"
"Let's meet 6PM","event"
"Let's connect Friday","event"
"Let's meet 7PM","event"
"Meeting with design team Friday","event"
"Call with John at 7PM","event"
"Project review at 9AM","event"
"Meeting with design team Thursday","event"
"Client meeting on Friday","event"
"Scheduling a quick meeting for Tuesday","event"
"Team sync scheduled for tomorrow","event"
"Let's connect Monday","event"
"Call with Alex at 6PM","event"
"Let's connect next week","event"
"Let's catch up Thursday at 2PM","event"
"Planning session at 8PM","event"
"Let's connect Wednesday","event"
"Meeting with design team Thursday","event"
"Scheduling a quick meeting for tomorrow","event"
"Project review at 9AM","event"
"Let's connect Wednesday","event"
"Let's connect today","event"
"Meeting with design team Monday","event"
"Let's meet 4PM","event"
"Planning session at 6PM","event"
"Planning session at 4PM","event"
"Meeting with design team Tuesday","event"
"Let's connect next week","event"
"Planning session at 9AM","event"
"Call with John at 7PM","event"
"Let's catch up today at 9AM","event"
"Let's connect Friday","event"
"Call with Priya at 2PM","event"
"Planning session at 9AM","event"
"Let's connect next week","event"
"Scheduling a quick meeting for Tuesday","event"
"Team sync scheduled for next week","event"
"Project review at 7PM","event"
"Team sync scheduled for tomorrow","event"
"Scheduling a quick meeting for Friday","event"
"Planning session at 10AM","event"
"Meeting with design team tomorrow","event"
"Team sync scheduled for next week","event"
"Planning session at 6PM","event"
"Scheduling a quick meeting for Wednesday","event"
"Call with Priya at 10AM","event"
"Planning session at 7PM","event"
"Meeting with design team tomorrow","event"
"Let's catch up Wednesday at 8PM","event"
"Team sync scheduled for Friday","event"
"Scheduling a quick meeting for Wednesday","event"
"Team sync scheduled for today","event"
"Meeting with design team today","event"
"Let's connect Thursday","event"
"Let's catch up Monday at 2PM","event"
"Scheduling a quick meeting for Tuesday","event"
"Meeting with design team Wednesday","event"
"Let's meet 9AM","event"
"Call with Riya at 4PM","event"
"Let's meet 6PM","event"
"Meeting with design team Monday","event"
"Let's catch up tomorrow at 9AM","event"
"Let's connect today","event"
"Project review at 8PM","event"
"Client meeting on tomorrow","event"
"Project review at 4PM","event"
"Client meeting on Wednesday","event"
"Meeting with design team today","event"
"Scheduling a quick meeting for next week","event"
"Let's connect Monday","event"
"Team sync scheduled for next week","event"
"Let's meet 2PM","event"
"Call with Riya at 7PM","event"
"Let's catch up Friday at 10AM","event"
"Team sync scheduled for Friday","event"
"Let's catch up tomorrow at 8PM","event"
"Call with John at 2PM","event"
"Team sync scheduled for Thursday","event"
"Project review at 8PM","event"
"Client meeting on Tuesday","event"
"Meeting with design team Friday","event"
"Let's meet 10AM","event"
"Client meeting on tomorrow","event"
"Planning session at 9AM","event"
"Team sync scheduled for next week","event"
"Call with Amit at 8PM","event"
"Let's meet 6PM","event"
"Meeting with design team Friday","event"
"Planning session at 2PM","event"
"Project review at 8PM","event"
"Scheduling a quick meeting for Thursday","event"
"Project review at 6PM","event"
"Project review at 9AM","event"
"Team sync scheduled for today","event"
"Let's connect Thursday","event"
"Meeting with design team today","event"
"Call with Maya at 2PM","event"
"Meeting with design team Wednesday","event"
"Call with Priya at 6PM","event"
"Planning session at 9AM","event"
"Let's catch up Wednesday at 6PM","event"
"Let's catch up tomorrow at 2PM","event"
"Scheduling a quick meeting for today","event"
"Team sync scheduled for today","event"
"Scheduling a quick meeting for next week","event"
"Meeting with design team Friday","event"
"Let's catch up Wednesday at 8PM","event"
"Project review at 8PM","event"
"Let's connect Friday","event"
"Client meeting on today","event"
"Let's meet 9AM","event"
"Meeting with design team Wednesday","event"
"Project review at 9AM","event"
"Let's meet 2PM","event"
"Meeting with design team Friday","event"
"Let's connect today","event"
"Let's catch up Tuesday at 2PM","event"
"Client meeting on Wednesday","event"
"Call with Alex at 9AM","event"
"Team sync scheduled for Wednesday","event"
"Project review at 2PM","event"
"Project review at 9AM","event"
"Scheduling a quick meeting for Wednesday","event"
"Meeting with design team Friday","event"
"Meeting with design team tomorrow","event"
"Planning session at 4PM","event"
"Team sync scheduled for Tuesday","event"
"Planning session at 10AM","event"
"Call with Sara at 4PM","event"
"Team sync scheduled for Wednesday","event"
